ID,Author,Year,type,drug,n.c,n.e,mean.e,sd.e,mean.c,sd.c
54,陈星曲,2018,联合用药,其它,34,35,23.37,7.89,25.21,9.26
55,范龙,2018,联合用药,丙泊酚,54,54,966,130,1152,142
55,范龙,2018,联合用药,瑞芬太尼,54,54,2,0.5,2.2,0.4
55,范龙,2018,联合用药,其它,54,54,31,3,32,4
56,吴志兰,2018,单药,丙泊酚,30,30,674.4,42.2,814.2,46.7
58,张琦,2018,联合用药,丙泊酚,40,40,495.74,52.11,601.29,78.96
58,张琦,2018,联合用药,舒芬太尼,40,40,0.92,0.18,1.41,0.27
60,姜景卫,2018,单药,丙泊酚,40,40,659,36,680,49
#N/A,郑晓宁,2018,联合用药,丙泊酚,20,20,560.25,72.2,618.32,73.9
#N/A,郑晓宁,2018,联合用药,瑞芬太尼,20,20,1.16,0.25,1.35,0.33
#N/A,郑晓宁,2018,联合用药,其它,20,20,63.72,7.51,65.56,6.28
62,叶阮昊,2018,单药,丙泊酚,78,78,667.17,112.39,816.24,134.27
63,Mehmet et al.,2019,单药,丙泊酚,50,50,104.39,33.43,141.15,95.41
64,高英超,2019,联合用药,丙泊酚,56,56,79.25,7.12,96,8.2
65,刘冰等,2019,联合用药,丙泊酚,50,50,57,6,62,8
66,范梅笑等,2019,联合用药,丙泊酚,40,40,1095,356,1283,327
66,范梅笑等,2019,联合用药,瑞芬太尼,40,40,1.2,0.2,1.1,0.2
69,陈陈燕等,2020,联合用药,丙泊酚,58,58,7.63,1.27,13.56,1.82
69,陈陈燕等,2020,联合用药,其它,58,58,5.61,1.19,9.59,1.65
69,陈陈燕等,2020,联合用药,舒芬太尼,58,58,0.00145,0.00083,0.00283,0.00104
71,陈新凯等,2020,联合用药,丙泊酚,55,55,315.41,24.53,342.69,31.84
71,陈新凯等,2020,联合用药,其它,55,55,0.01896,0.00154,0.01903,0.00156
71,陈新凯等,2020,联合用药,芬太尼,55,55,0.32478,0.01351,0.32528,0.01348
72,李小莉,2020,联合用药,丙泊酚,40,40,4.31,0.09,5.28,0.17
74,黄梁淘等,2021,联合用药,丙泊酚,42,42,651.5,21.4,795.2,28.6
75,李其金等,2021,联合用药,丙泊酚,46,46,315.5,24.2,342.6,26.8
75,李其金等,2021,联合用药,舒芬太尼,46,46,0.397,0.0033,0.0391,0.0042
76,吴正文等,2021,联合用药,丙泊酚,55,54,624.26,36.15,681.69,49.61
80,邵路军,2021,联合用药,其它,36,37,54.17,1.16,56.81,1.13
81,方锐伦等,2022,联合用药,丙泊酚,24,24,723.3,58.2,182.8,126.4
82,耿莹等,2022,联合用药,其它,52,52,492.27,51.36,625.06,70.18
